CityDistrictID,CityDistrictName,ProvinceID
1,An Phú,1
2,Châu Đốc,1
3,Châu Phú,1
4,Châu Thành,1
5,Chợ Mới,1
6,Long Xuyên,1
7,Phú Tân,1
8,Tân Châu,1
9,Thoại Sơn,1
10,Tịnh Biên,1
11,Tri Tôn,1
12,Bà Rịa,2
13,Châu Đức,2
14,Côn Đảo,2
15,Đất Đỏ,2
16,Long Điền,2
17,Phú Mỹ,2
18,Vũng Tàu,2
19,Xuyên Mộc,2
20,Bạc Liêu,5
21,Đông Hải,5
22,Giá Rai,5
23,Hòa Bình,5
24,Hồng Dân,5
25,Phước Long,5
26,Vĩnh Lợi,5
27,Bắc Giang,3
28,Hiệp Hòa,3
29,Lạng Giang,3
30,Lục Nam,3
31,Lục Ngạn,3
32,Sơn Động,3
33,Tân Yên,3
34,Việt Yên,3
35,Yên Dũng,3
36,Yên Thế,3
37,Ba Bể,4
38,Bắc Kạn,4
39,Bạch Thông,4
40,Chợ Đồn,4
41,Chợ Mới,4
42,Na Rì,4
43,Ngân Sơn,4
44,Pác Nặm,4
45,Bắc Ninh,6
46,Gia Bình,6
47,Lương Tài,6
48,Quế Võ,6
49,Thuận Thành,6
50,Tiên Du,6
51,Từ Sơn,6
52,Yên Phong,6
53,Ba Tri,7
54,Bến Tre,7
55,Bình Đại,7
56,Châu Thành,7
57,Chợ Lách,7
58,Giồng Trôm,7
59,Mỏ Cày Bắc,7
60,Mỏ Cày Nam,7
61,Thạnh Phú,7
62,Bắc Tân Uyên,9
63,Bàu Bàng,9
64,Bến Cát,9
65,Dầu Tiếng,9
66,Dĩ An,9
67,Phú Giáo,9
68,Tân Uyên,9
69,Thủ Dầu Một,9
70,Thuận An,9
71,An Lão,8
72,An Nhơn,8
73,Hoài Ân,8
74,Hoài Nhơn,8
75,Phù Cát,8
76,Phù Mỹ,8
77,Quy Nhơn,8
78,Tây Sơn,8
79,Tuy Phước,8
80,Vân Canh,8
81,Vĩnh Thạnh,8
82,Bình Long,10
83,Bù Đăng,10
84,Bù Đốp,10
85,Bù Gia Mập,10
86,Chơn Thành,10
87,Đồng Phú,10
88,Đồng Xoài,10
89,Hớn Quản,10
90,Lộc Ninh,10
91,Phú Riềng,10
92,Phước Long,10
93,Bắc Bình,11
94,Đức Linh,11
95,Hàm Tân,11
96,Hàm Thuận Bắc,11
97,Hàm Thuận Nam,11
98,La Gi,11
99,Phan Thiết,11
100,Phú Quý,11
101,Tánh Linh,11
102,Tuy Phong,11
103,Cà Mau,12
104,Cái Nước,12
105,Đầm Dơi,12
106,Năm Căn,12
107,Ngọc Hiển,12
108,Phú Tân,12
109,Thới Bình,12
110,Trần Văn Thời,12
111,U Minh,12
112,Bảo Lạc,14
113,Bảo Lâm,14
114,Cao Bằng,14
115,Hạ Lang,14
116,Hà Quảng,14
117,Hòa An,14
118,Nguyên Bình,14
119,Quảng Hòa,14
120,Thạch An,14
121,Trùng Khánh,14
122,Bình Thủy,13
123,Cái Răng,13
124,Cờ Đỏ,13
125,Ninh Kiều,13
126,Ô Môn,13
127,Phong Điền,13
128,Thới Lai,13
129,Thốt Nốt,13
130,Vĩnh Thạnh,13
131,Cẩm Lệ,15
132,Hải Châu,15
133,Hòa Vang,15
134,Hoàng Sa,15
135,Liên Chiểu,15
136,Ngũ Hành Sơn,15
137,Sơn Trà,15
138,Thanh Khê,15
139,Buôn Đôn,16
140,Buôn Hồ,16
141,Buôn Ma Thuột,16
142,Cư Kuin,16
143,Cư M'gar,16
144,Ea H'leo,16
145,Ea Kar,16
146,Ea Súp,16
147,Krông Ana,16
148,Krông Bông,16
149,Krông Búk,16
150,Krông Năng,16
151,Krông Pắc,16
152,Lắk,16
153,M'Drắk,16
154,Cư Jút,17
155,Đắk Glong,17
156,Đắk Mil,17
157,Đắk R'lấp,17
158,Đắk Song,17
159,Gia Nghĩa,17
160,Krông Nô,17
161,Tuy Đức,17
162,Điện Biên,18
163,Điện Biên Đông,18
164,Điện Biên Phủ,18
165,Mường Ảng,18
166,Mường Chà,18
167,Mường Lay,18
168,Mường Nhé,18
169,Nậm Pồ,18
170,Tủa Chùa,18
171,Tuần Giáo,18
172,Biên Hòa,19
173,Cẩm Mỹ,19
174,Định Quán,19
175,Long Khánh,19
176,Long Thành,19
177,Nhơn Trạch,19
178,Tân Phú,19
179,Thống Nhất,19
180,Trảng Bom,19
181,Vĩnh Cửu,19
182,Xuân Lộc,19
183,Cao Lãnh,20
184,Cao Lãnh,20
185,Châu Thành,20
186,Hồng Ngự,20
187,Hồng Ngự,20
188,Lai Vung,20
189,Lấp Vò,20
190,Sa Đéc,20
191,Tam Nông,20
192,Tân Hồng,20
193,Thanh Bình,20
194,Tháp Mười,20
195,An Khê,21
196,Ayun Pa,21
197,Chư Păh,21
198,Chư Prông,21
199,Chư Pưh,21
200,Chư Sê,21
201,Đak Đoa,21
202,Đak Pơ,21
203,Đức Cơ,21
204,Ia Grai,21
205,Ia Pa,21
206,Kbang,21
207,Kông Chro,21
208,Krông Pa,21
209,Mang Yang,21
210,Phú Thiện,21
211,Pleiku,21
212,Bắc Mê,22
213,Bắc Quang,22
214,Đồng Văn,22
215,Hà Giang,22
216,Hoàng Su Phì,22
217,Mèo Vạc,22
218,Quản Bạ,22
219,Quang Bình,22
220,Vị Xuyên,22
221,Xín Mần,22
222,Yên Minh,22
223,Bình Lục,23
224,Duy Tiên,23
225,Kim Bảng,23
226,Lý Nhân,23
227,Phủ Lý,23
228,Thanh Liêm,23
229,Ba Đình,24
230,Ba Vì,24
231,Bắc Từ Liêm,24
232,Cầu Giấy,24
233,Chương Mỹ,24
234,Đan Phượng,24
235,Đông Anh,24
236,Đống Đa,24
237,Gia Lâm,24
238,Hà Đông,24
239,Hai Bà Trưng,24
240,Hoài Đức,24
241,Hoàn Kiếm,24
242,Hoàng Mai,24
243,Long Biên,24
244,Mê Linh,24
245,Mỹ Đức,24
246,Nam Từ Liêm,24
247,Phú Xuyên,24
248,Phúc Thọ,24
249,Quốc Oai,24
250,Sóc Sơn,24
251,Sơn Tây,24
252,Tây Hồ,24
253,Thạch Thất,24
254,Thanh Oai,24
255,Thanh Trì,24
256,Thanh Xuân,24
257,Thường Tín,24
258,Ứng Hòa,24
259,Cẩm Xuyên,25
260,Can Lộc,25
261,Đức Thọ,25
262,Hà Tĩnh,25
263,Hồng Lĩnh,25
264,Hương Khê,25
265,Hương Sơn,25
266,Kỳ Anh,25
267,Kỳ Anh,25
268,Lộc Hà,25
269,Nghi Xuân,25
270,Thạch Hà,25
271,Vũ Quang,25
272,Bình Giang,26
273,Cẩm Giàng,26
274,Chí Linh,26
275,Gia Lộc,26
276,Hải Dương,26
277,Kim Thành,26
278,Kinh Môn,26
279,Nam Sách,26
280,Ninh Giang,26
281,Thanh Hà,26
282,Thanh Miện,26
283,Tứ Kỳ,26
284,An Dương,27
285,An Lão,27
286,Bạch Long Vĩ,27
287,Cát Hải,27
288,Đồ Sơn,27
289,Dương Kinh,27
290,Hải An,27
291,Hồng Bàng,27
292,Kiến An,27
293,Kiến Thụy,27
294,Lê Chân,27
295,Ngô Quyền,27
296,Thủy Nguyên,27
297,Tiên Lãng,27
298,Vĩnh Bảo,27
299,Châu Thành,28
300,Châu Thành A,28
301,Long Mỹ,28
302,Long Mỹ,28
303,Ngã Bảy,28
304,Phụng Hiệp,28
305,Vị Thanh,28
306,Vị Thủy,28
307,Cao Phong,29
308,Đà Bắc,29
309,Hòa Bình,29
310,Kim Bôi,29
